n,Xi(n),Omega(n),E(n),F(n),E_tail_upper,Omega_tail_upper_heuristic
20000,0.21013186380358878,0.6155614534140523,1.3518097145839083,-0.5261163973662673,0.0007865203710219206,0.0007041898872713594
21000,0.21013186403600942,0.6155651569049143,1.3518438144815763,-0.5261467935406525,0.00075241889277761,0.000671073846142093
22000,0.21013186423746272,0.6155685247850027,1.3518749633181593,-0.5261745742956938,0.0007212686792812885,0.0006409480297162308
23000,0.21013186441321535,0.6155716027554171,1.3519035333433918,-0.5262000661747592,0.0006926974470264375,0.0006134242277252771
24000,0.2101318645674601,0.6155744277035065,1.3519298363168344,-0.5262235440458678,0.0006663934094280086,0.0005881787009880848
25000,0.21013186470356846,0.615577027289735,1.3519541353625237,-0.5262452433692203,0.000642093420613031,0.0005649393243470758
26000,0.21013186482427615,0.6155794307062286,1.3519766541338663,-0.5262653586033615,0.0006195738093727746,0.000543475689455563
27000,0.21013186493182195,0.6155816577458761,1.3519975839760954,-0.5262840612983972,0.0005986432158412785,0.0005235914016391683
28000,0.2101318650280521,0.6155837268049843,1.3520170895796961,-0.5263014977466598,0.0005791369374145948,0.0005051180234505497
29000,0.21013186511450013,0.6155856547282464,1.352035313483803,-0.5263177936410565,0.000560912424850987,0.00048791026826397276
30000,0.21013186519244836,0.6155874557887451,1.3520523796940436,-0.5263330587128501,0.0005438456640386523,0.00047184215283834104
31000,0.2101318652629756,0.615589141713906,1.3520683966119096,-0.526347389635028,0.0005278282463205782,0.0004568038927560056
32000,0.2101318653269948,0.6155907235030653,1.3520834594240885,-0.5263608705940284,0.0005127649789234704,0.00044269937856969546
33000,0.21013186538528275,0.61559221080513,1.3520976520646588,-0.526373575874246,0.0004985719225730152,0.00042944410973186586
34000,0.2101318654385037,0.6155936102328727,1.35211104883682,-0.5263855731654435,0.0004851747696118056,0.00041696349225194256
35000,0.21013186548722837,0.615594930673095,1.3521237157612687,-0.5263969196009453,0.0004725074954998862,0.00040519142748609194
36000,0.21013186553194932,0.615596178801199,1.3521357117036097,-0.5264076673704614,0.0004605112313053712,0.0003940691355671939
37000,0.21013186557309352,0.6155973597743054,1.3521470893220005,-0.5264178639746016,0.00044913331597783786,0.00038354416917510425
38000,0.21013186561103242,0.61559847930626,1.3521578958676712,-0.5264275509503789,0.00043832649576301674,0.00037356958265669847
