n,F(n),|F(n) - F(Nmax)|,log10_error
11456,-0.6683924591520766,0.0010764379870269458,-2.9680109845750544
11713,-0.6684153054782587,0.0010535916608448437,-2.9773276754640787
11975,-0.6684376437740018,0.0010312533651016809,-2.9866346212854546
12244,-0.6684596381814629,0.0010092589576405908,-2.9959973873359136
12518,-0.6684811289874109,0.0009877681516926584,-3.0053449807732933
12799,-0.6685022701186452,0.0009666270204583549,-3.0147410690440797
13086,-0.6685229727511858,0.0009459243879177404,-3.0241435773640615
13379,-0.6685432527739312,0.0009256443651722845,-3.0335558382743626
13679,-0.6685631642791943,0.0009057328599092473,-3.0429998758054504
13986,-0.668582699895641,0.0008861972434625054,-3.0524696051855678
14299,-0.6686018138693989,0.0008670832697046382,-3.061939193369571
14620,-0.6686206058174783,0.0008482913216252275,-3.071454975989677
14948,-0.6686390262415448,0.0008298708975587044,-3.0809894652611503
15283,-0.6686570678537596,0.0008118292853439568,-3.0905352863103324
15625,-0.6686747322780249,0.0007941648610786389,-3.100089332806329
15975,-0.6686920718979259,0.0007768252411776144,-3.1096766714547655
16334,-0.6687091289858164,0.0007597681532871547,-3.119318914442158
16700,-0.6687258035228613,0.0007430936162422519,-3.1289564696091454
17074,-0.6687421470771342,0.0007267500619693168,-3.1386149225256377
17457,-0.668758199498084,0.0007106976410194976,-3.1483151260855244
17848,-0.6687739140576197,0.0006949830814838576,-3.1580257676510897
18248,-0.6687893322381745,0.0006795649009290194,-3.167769060242212
18657,-0.6688044511864765,0.0006644459526270463,-3.17754033967303
19076,-0.668819303930179,0.0006495932089245482,-3.1873585240101256
19503,-0.6688338208012096,0.0006350763378939472,-3.197174068198617
19940,-0.6688480687765644,0.000620828362539072,-3.207028450556504
20387,-0.6688620463506924,0.0006068507884111618,-3.2169180794942616
20844,-0.6688757481249213,0.0005931490141821705,-3.2268361870620437
21312,-0.6688892050878618,0.0005796920512417536,-3.2368026546499493
21789,-0.6689023595748652,0.0005665375642383008,-3.2467712889770155
22278,-0.668915289089001,0.0005536080501025165,-3.256797603360398
22777,-0.6689279443977298,0.0005409527413736681,-3.266840674000873
23288,-0.668940370469246,0.0005285266698574764,-3.2769330929739673
23810,-0.6689525427043463,0.0005163544347571714,-3.2870520886492676
24344,-0.6689644844468831,0.0005044126922204573,-3.2972139940815937
24889,-0.6689761719492802,0.0004927251898233509,-3.30739523451495
25447,-0.66898764675022,0.0004812503888834696,-3.3176289065434394
26018,-0.6689989062951973,0.0004699908439061984,-3.3279106026594887
26601,-0.669009930035359,0.0004589671037444898,-3.338218441203972
27197,-0.6690207380987501,0.00044815904035344634,-3.348567838477775
