n,F(n),|F(n) - F(Nmax)|,log10_error
13679,-0.5258287787363631,0.0009078954698560349,-3.0419641509040143
13986,-0.5258483723840726,0.0008883018221466088,-3.0514394470350146
14299,-0.5258675415463164,0.0008691326599027382,-3.060913930033963
14620,-0.5258863868091287,0.0008502873970904767,-3.070434257962877
14948,-0.5259048598510737,0.0008318143551454549,-3.0799735890123663
15283,-0.5259229528410053,0.0008137213652138486,-3.0895242809410153
15625,-0.5259406681918054,0.0007960060144137637,-3.099083650834138
15975,-0.5259580578991343,0.0007786163070848673,-3.108676504801249
16334,-0.5259751638519452,0.0007615103542739643,-3.1183241871756406
16700,-0.5259918853826154,0.000744788823603737,-3.12796684905631
17074,-0.5260082742171965,0.0007283999890226323,-3.137630069422162
17457,-0.5260243707131037,0.0007123034931154626,-3.1473349258827925
17848,-0.5260401285301547,0.000696545676064475,-3.1570503993945906
18248,-0.5260555889777827,0.0006810852284364621,-3.166798538713281
18657,-0.5260707497203007,0.0006659244859185121,-3.176575015887175
19076,-0.5260856422592963,0.000651031946922842,-3.1863976995548766
19503,-0.5261001970546851,0.0006364771515340317,-3.196217182176542
19940,-0.5261144824269663,0.0006221917792528231,-3.206075731331979
20387,-0.5261284966912962,0.0006081775149229252,-3.215969640300751
20844,-0.5261422343015879,0.000594439904631261,-3.2258920441676455
21312,-0.5261557260492632,0.0005809481569559738,-3.235862621744827
21789,-0.526168914499233,0.0005677597069861928,-3.2458354319131564
22278,-0.5261818776817229,0.0005547965244963038,-3.255866268213037
22777,-0.5261945656547049,0.0005421085515142643,-3.265913741868706
23288,-0.5262070238174418,0.0005296503887773918,-3.27601070459747
23810,-0.5262192272304216,0.0005174469757975864,-3.286134146930663
24344,-0.5262311998545501,0.000505474351669033,-3.296300876099103
24889,-0.5262429170368652,0.0004937571693539589,-3.3064865853639476
25447,-0.5262544204117184,0.000482253794500731,-3.3167243465264917
26018,-0.5262657078229277,0.0004709663832914712,-3.327010090900925
